机场代码,机场全称,机场简称,英文名,所属城市,城市三字码,所属省州,所属国家/地区,机场类型
SZJ,希瓜尼机场,希瓜尼机场,Siguanea,希瓜尼,SZJ,希瓜尼,古巴,机场
SZK,斯库库扎机场,斯库库扎机场,Skukuza Airport,斯库库扎,SZK,普马兰加,南非,机场
SZL,怀特曼空军基地,怀特曼空军基地,Warrensburg,沃伦斯堡,SZL,密苏里州,美国,非海关机场
SZM,塞斯里姆机场,塞斯里姆机场,Sesriem,塞斯里姆,SZM,塞斯里姆,纳米比亚,机场
SZP,圣保拉机场,圣保拉机场,Santa Paula,圣保拉,SZP,加利福尼亚州,美国,机场
SZQ,萨恩兹佩纳机场,萨恩兹佩纳机场,Saenz Pena,萨恩兹佩纳,SZQ,布宜诺斯艾利斯省,阿根廷,机场
SZR,旧扎戈拉机场,旧扎戈拉机场,Stara Zagora,旧扎戈拉,SZR,旧扎戈拉,保加利亚,机场
SZS,斯图尔特岛机场,斯图尔特岛机场,Stewart Island,斯图尔特岛,SZS,绍斯兰,新西兰,机场
SYU,瓦拉博岛机场,瓦拉博岛机场,Warraber Island,苏岛,SYU,昆士兰,澳大利亚,机场
SYV,西尔韦斯特机场,西尔韦斯特机场,Sylvester,西尔韦斯特,SYV,佐治亚州,美国,机场
SYW,瑟文沙里夫机场,瑟文沙里夫机场,Sehwen Sharif,瑟文沙里夫,SYW,瑟文沙里夫,巴基斯坦,机场
SYY,斯托诺威机场,斯托诺威机场,Stornoway Airport,斯托诺韦,SYY,苏格兰,英国,机场
SYZ,设拉子国际机场,设拉子机场,Shiraz International Airport,设拉子,SYZ,设拉子,伊朗,机场
SZA,索约机场,索约机场,Soyo Airport,索约,SZA,索约,安哥拉,机场
SZC,瓜纳卡斯特机场,瓜纳卡斯特机场,Santa Cruz,圣克鲁斯,SZC,圣克鲁斯,哥斯达黎加,机场
ZFG,设菲尔德巴士车站,设菲尔德巴士车站,Sheffield Bus Station,设菲尔德,SZD,英格兰,英国,非海关机场
SZD,设菲尔德城机场,设菲尔德城机场,Sheffield,设菲尔德,SZD,英格兰,英国,机场
SZE,瑟梅拉机场,瑟梅拉机场,Semera Airport,瑟梅拉,SZE,瑟梅拉,埃塞俄比亚,机场
XJS,基茨布埃尔火车站,基茨布埃尔火车站,Kitzbuehel Rail Station,萨尔茨堡,SZG,萨尔茨堡,奥地利,非海关机场
ZSB,德国铁路火车站,德国铁路火车站,Salzburg Rail Station,萨尔茨堡,SZG,萨尔茨堡,奥地利,非海关机场
SYG,斯皮茨堡机场,斯皮茨堡机场,No Info,斯瓦尔巴群岛,SYG,斯瓦尔巴群岛,挪威,机场
SYI,博马尔机场,博马尔机场,Shelbyville,谢尔比维尔,SYI,田纳西州,美国,机场
SYJ,希尔加恩机场,希尔加恩机场,Sirjan,希尔加恩,SYJ,希尔加恩,伊朗,机场
SYK,斯蒂基绍尔莫机场,斯蒂基绍尔莫机场,Stykkisholmur,斯蒂基绍尔莫,SYK,西部,冰岛,机场
SYL,罗伯茨空军基地,罗伯茨空军基地,Roberts Air Force Base,圣米格尔,SYL,加利福尼亚州,美国,非海关机场
SYN,卡勒登机场,卡勒登机场,Stanton,斯坦顿,SYN,明尼苏达州,美国,机场
SYO,庄内机场,庄内机场,Shonai Airport,庄内,SYO,庄内,日本,机场
SYP,圣地亚哥机场,圣地亚哥机场,Santiago,圣地亚哥,SYP,贝拉瓜斯,巴拿马,机场
ZYQ,纽约锡拉丘兹火车站,纽约锡拉丘兹火车站,Syracuse Ny Railway Station,锡拉丘兹,SYR,纽约州,美国,非海关机场
SYR,汉考克国际机场,汉考克机场,Hancock International Airport,锡拉丘兹,SYR,纽约州,美国,机场
SYS,萨斯克拉赫机场,萨斯克拉赫机场,Saskylakh Airport,萨斯基拉克,SYS,萨哈（雅库特）,俄罗斯,机场
SYT,查洛莱斯－布尔瓦那苏德机场,查洛莱斯－布尔瓦那苏德机场,St-Yan,圣亚恩,SYT,勃艮第-弗朗什-孔泰大区,法国,机场
SXV,塞勒姆机场,塞勒姆机场,Salem,塞勒姆,SXV,泰米尔纳德,印度,机场
SXW,苏伦机场,苏伦机场,Sauren,苏伦,SXW,苏伦,巴布亚新几内亚,机场
SXX,欣古河畔圣费利斯机场,欣古河畔圣费利斯机场,Sao Felix Do Xingu,欣古河畔圣费利斯,SXX,帕拉,巴西,机场
SXY,悉尼机场,悉尼机场,Sidney,悉尼（纽约州）,SXY,纽约州,美国,机场
SXZ,锡尔特机场,锡尔特机场,Siirt Airport,锡尔特,SXZ,锡尔特,土耳其,机场
SYA,谢姆亚空军基地,谢姆亚空军基地,Shemya,谢姆亚,SYA,阿拉斯加州,美国,非海关机场
SYB,水上飞机基地,水上基地,Sea Plane Base,希尔贝,SYB,阿拉斯加州,美国,机场
RSE,玫瑰湾水机场,玫瑰湾水机场,Sydney Au-Rose Bay Apt,悉尼,SYD,新南威尔士,澳大利亚,非海关机场
SWZ,悉尼西机场,悉尼西机场,Sydney West Apt,悉尼,SYD,新南威尔士,澳大利亚,非海关机场
SYD,金斯福德史密斯机场,金斯福德史密斯机场,Kingsford Smith Airport,悉尼,SYD,新南威尔士,澳大利亚,机场
LBH,棕榈滩水上飞机基地,棕榈滩水上飞机基地,Sydney Palm Beach Spb,悉尼,SYD,新南威尔士,澳大利亚,非海关机场
SYE,萨达机场,萨达机场,Sa Dah,萨达,SYE,萨达,也门,机场
SYF,希尔瓦贝机场,希尔瓦贝机场,Silva Bay,希尔瓦贝,SYF,不列颠哥伦比亚,加拿大,机场
ZSL,斯莱戈巴士车站,斯莱戈巴士车站,Sligo Bus Station,斯莱戈,SXL,斯莱戈,爱尔兰,非海关机场
SXL,考鲁内机场,考鲁内机场,Sligo,斯莱戈,SXL,斯莱戈,爱尔兰,机场
SXM,朱莉安娜公主国际机场,朱莉安娜公主机场,Princess Juliana International Airport,圣马滕,SXM,圣马滕,荷属安的列斯,机场
SXN,苏阿潘机场,苏阿潘机场,Suapan,苏阿潘,SXN,苏阿潘,博茨瓦纳,机场
SXO,圣费里克斯多－阿拉瓜亚机场,圣费里克斯多－阿拉瓜亚机场,Sao Felix Do Araguaia Apt,圣费里克斯多－阿拉瓜亚,SXO,马托格罗索,巴西,机场
SXP,谢尔登波因特水上飞机基地,谢尔登波因特水上飞机基地,Sheldon Point,谢尔登波因特,SXP,阿拉斯加州,美国,非海关机场
SXQ,索尔多特纳机场,索尔多特纳机场,Soldotna Apt,索尔多特纳,SXQ,阿拉斯加州,美国,非海关机场
SXR,斯利那加机场,斯利那加机场,Srinagar Airport,斯利那加,SXR,查谟和克什米尔,印度,机场
SXS,撒哈巴特16机场,撒哈巴特16机场,Sahabat 16,撒哈巴特16,SXS,撒哈巴特16,马来西亚,机场
SXT,塔曼内格拉机场,塔曼内格拉机场,Taman Negara,塔曼内格拉,SXT,塔曼内格拉,马来西亚,机场
SXU,索都机场,索都机场,Soddu,索都,SXU,索都,埃塞俄比亚,机场
SWY,实兆远机场,实兆远机场,Sitiawan,实兆远,SWY,霹雳,马来西亚,机场
SXA,希阿卢姆机场,希阿卢姆机场,Sialum,希阿卢姆,SXA,希阿卢姆,巴布亚新几内亚,机场
XER,斯特拉斯堡巴士车站,斯特拉斯堡巴士车站,Strasbourg Bus Station,斯特拉斯堡,SXB,大东部大区,法国,非海关机场
XWG,斯特拉斯堡高铁站,斯特拉斯堡高铁站,Strasbourg Railway Station,斯特拉斯堡,SXB,大东部大区,法国,非海关机场
SXB,恩特扎姆机场,恩特扎姆机场,Entzheim Airport,斯特拉斯堡,SXB,大东部大区,法国,机场
SXD,索菲亚安提波利斯机场,索菲亚安提波利斯机场,Sophia Antipolis Off-Line Pt,索菲亚安提波利斯,SXD,索菲亚安提波利斯,法国,机场
SXE,塞尔机场,塞尔机场,Sale,塞尔,SXE,维多利亚,澳大利亚,机场
SXG,瑟囊加机场,瑟囊加机场,Senanga,瑟囊加,SXG,瑟囊加,赞比亚,机场
SXH,瑟胡里机场,瑟胡里机场,Sehulea,瑟胡里,SXH,瑟胡里,巴布亚新几内亚,机场
SXI,希里岛机场,希里岛机场,Sirri Island,希里岛,SXI,希里岛,伊朗,机场
SXK,苏姆拉基机场,苏姆拉基机场,Saumlaki Airport,苏姆拉基,SXK,苏姆拉基,印度尼西亚,机场
SWN,萨希瓦尔机场,萨希瓦尔机场,Sahiwal,萨希瓦尔,SWN,旁遮普,巴基斯坦,机场
SWO,斯蒂尔沃特地区机场,斯蒂尔沃特机场,Stillwater Regional Airport,斯蒂尔沃特,SWO,俄克拉何马城,美国,机场
ZSZ,斯瓦科普蒙德火车站,斯瓦科普蒙德火车站,Swakopmund Rail Station,斯瓦科普蒙德,SWP,斯瓦科普蒙德,纳米比亚,非海关机场
SWP,斯瓦科普蒙德机场,斯瓦科普蒙德机场,Swakopmund Apt,斯瓦科普蒙德,SWP,斯瓦科普蒙德,纳米比亚,机场
SWQ,苏丹穆罕默德卡哈卢丁三世机场,苏丹穆罕默德卡哈卢丁三世机场,Sultan Muhammad Kaharuddin Iii Airport,大松巴哇（废）,SWQ,大松巴哇,印度尼西亚,机场
SWR,希鲁尔机场,希鲁尔机场,Silur,希鲁尔,SWR,希鲁尔,巴布亚新几内亚,机场
SWS,斯旺西机场,斯旺西机场,Swansea Airport,斯旺西,SWS,威尔士,英国,机场
SWT,斯特泽沃伊机场,斯特泽沃伊机场,Strezhevoy Airport,斯特泽沃伊,SWT,托木斯克,俄罗斯,机场
SWV,希卡尔珀尔机场,希卡尔珀尔机场,Evensk,希卡尔珀尔,SWV,希卡尔珀尔,巴基斯坦,机场
SWW,斯威特沃特机场,斯威特沃特机场,Sweetwater,斯威特沃特,SWW,德克萨斯州,美国,机场
SWX,夏卡维机场,夏卡维机场,Shakawe,夏卡维,SWX,夏卡维,博茨瓦纳,机场
SWB,绍里弗机场,绍里弗机场,Shaw River,绍里弗,SWB,西澳大利亚,澳大利亚,机场
SWC,斯托尔机场,斯托尔机场,Stawell,斯托尔,SWC,维多利亚,澳大利亚,机场
SWD,苏厄德机场,苏厄德机场,Seward,苏厄德,SWD,阿拉斯加州,美国,机场
SWE,希维机场,希维机场,Siwea,希维,SWE,希维,巴布亚新几内亚,机场
SWG,萨特瓦格机场,萨特瓦格机场,Satwag,萨特瓦格,SWG,萨特瓦格,巴布亚新几内亚,机场
SWH,斯旺希尔机场,斯旺希尔机场,Swan Hill,斯旺希尔,SWH,维多利亚,澳大利亚,机场
XWS,斯温登火车站,斯温登火车站,Swindon Rail Station,斯温登,SWI,英格兰,英国,非海关机场
SWI,斯温登机场,斯温登机场,Swindon Off-Line Point,斯温登,SWI,英格兰,英国,机场
SWJ,西南湾机场,西南湾机场,South West Bay,西南湾,SWJ,西南湾,瓦努阿图,机场
SWM,苏亚米苏机场,苏亚米苏机场,Suia-Missu,苏亚米苏,SWM,马托格罗索,巴西,机场
SVM,圣保罗斯米西翁机场,圣保罗斯米西翁机场,St Pauls Mission,圣保罗斯米西翁,SVM,昆士兰,澳大利亚,机场
SVP,奎托机场,奎托机场,Kuito Airport,奎托,SVP,奎托,安哥拉,机场
XQA,塞维利亚火车站,塞维利亚火车站,Sevilla Rail Station,塞维利亚,SVQ,安达卢西亚,西班牙,非海关机场
SVQ,塞维利亚机场,塞维利亚机场,Seville Airport,塞维利亚,SVQ,安达卢西亚,西班牙,机场
SVR,柴桢机场,柴桢机场,Svay Rieng,柴桢,SVR,柴桢,柬埔寨,机场
SVS,史蒂芬斯威里奇机场,史蒂芬斯威里奇机场,Stevens Village Airport,史蒂芬斯威里奇,SVS,阿拉斯加州,美国,机场
SVT,萨乌提机场,萨乌提机场,Savuti,萨乌提,SVT,萨乌提,博茨瓦纳,机场
SVU,萨武萨武机场,萨武萨武机场,Savusavu Airport,萨武萨武,SVU,萨武萨武,斐济,机场
SVV,圣萨尔瓦多省机场,圣萨尔瓦多省机场,San Salvador De Paul,圣萨尔瓦多保罗,SVV,玻利瓦尔,委内瑞拉,机场
SVW,斯帕雷佛恩空军机场,斯帕雷佛恩空军机场,Sparrevohn,斯帕雷佛恩,SVW,阿拉斯加州,美国,非海关机场
SVX,科利佐沃机场,科利佐沃机场,Koltsovo Airport,叶卡捷琳堡,SVX,斯维尔德洛夫斯克,俄罗斯,机场
SVY,萨佛机场,萨佛机场,Savo Apt,萨佛,SVY,萨佛,所罗门群岛,机场
SVZ,圣安东尼奥机场,圣安东尼奥机场,San Antonio Airport,圣安东尼奥,SVZ,圣安东尼奥,委内瑞拉,机场
SVC,格兰特郡机场,格兰特郡机场,Grant County Airport,银城,SVC,新墨西哥州,美国,机场
SVD,雅盖国际机场,雅盖机场,Argyle International Airport,圣文森特,SVD,圣乔治区,圣文森特和格林纳丁斯,机场
SVE,苏珊维尔机场,苏珊维尔机场,Susanville,苏珊维尔,SVE,加利福尼亚州,美国,机场
SVF,萨韦机场,萨韦机场,Save,萨韦,SVF,萨韦,贝宁,机场
ZWC,斯塔万格火车站,斯塔万格火车站,Stavanger Rail Station,斯塔万格,SVG,罗加兰,挪威,非海关机场
SVH,斯泰茨维尔地方机场,斯泰茨维尔地方机场,Statesville,斯泰茨维尔,SVH,北卡罗莱纳州,美国,机场
SVI,爱德华多·法利亚·索拉诺机场,爱德华多·法利亚·索拉诺,Eduardo Falla Solano Airport,圣维森特,SVI,圣维森特,哥伦比亚,机场
SVJ,直升机机场,直升机机场,Svolvaer,斯沃尔韦尔,SVJ,诺德兰,挪威,非海关机场
SVK,锡尔弗克里克机场,锡尔弗克里克机场,Silver Creek,锡尔弗克里克,SVK,锡尔弗克里克,伯利兹,机场
SVL,萨翁林纳机场,萨翁林纳机场,Savonlinna Airport,萨翁林纳,SVL,南萨沃尼亚,芬兰,机场
SUQ,苏库阿机场,苏库阿机场,Sucua,苏库阿,SUQ,苏库阿,厄瓜多尔,机场
SUR,萨莫比佛机场,萨莫比佛机场,Summer Beaver Airport,萨莫比佛,SUR,安大略,加拿大,机场
SUT,松巴万加机场,松巴万加机场,Sumbawanga,松巴万加,SUT,松巴万加,坦桑尼亚,机场
SUU,特拉维斯空军基地,特拉维斯空军基地,Fairfield,费尔菲尔德,SUU,加利福尼亚州,美国,非海关机场
SUV,纳乌索里机场,纳乌索里机场,Nausori Airport,苏瓦,SUV,苏瓦,斐济,机场
SUW,理查德伯恩机场,理查德伯恩机场,Superior,苏必利尔,SUW,威斯康星州,美国,机场
SUX,苏城门户机场,苏城门户机场,Sioux Gateway Airport,苏城,SUX,艾奥瓦州,美国,机场
SUY,苏杜雷里机场,苏杜雷里机场,Sudureyri Airport,苏杜雷里,SUY,西峡湾,冰岛,机场
SUZ,苏里亚机场,苏里亚机场,Suria Apt,苏里亚,SUZ,苏里亚,巴布亚新几内亚,机场
SVA,萨文加机场,萨文加机场,Savoonga Airport,萨文加,SVA,阿拉斯加州,美国,机场
SVB,桑巴瓦机场,桑巴瓦机场,Sambava Airport,桑巴瓦,SVB,桑巴瓦,马达加斯加,机场
SUG,苏里高机场 ,苏里高机场,Surigao Airport,苏里高,SUG,苏里高,菲律宾,机场
SUH,苏尔机场,苏尔机场,Sur,苏尔,SUH,东南,阿曼,机场
SUI,巴布谢里机场,巴布谢里机场,Sokhumi,苏克胡米,SUI,苏克胡米,格鲁吉亚,机场
SUJ,萨图马雷机场,萨图马雷机场,Satu Mare Airport,萨图马雷,SUJ,萨图马雷,罗马尼亚,机场
SUK,塞克雅尔机场,塞克雅尔机场,Sakkyryr Airport,塞克雅尔,SUK,萨哈（雅库特）,俄罗斯,机场
SUL,苏伊机场,苏伊机场,Sui,苏伊,SUL,苏伊,巴基斯坦,机场
XUN,巴士车站,巴士车站,Sun Valley Bus Station,桑瓦雷,SUN,爱达荷州,美国,非海关机场
SUN,弗里德曼纪念机场,弗里德曼纪念机场,Friedman Memorial Airport,桑瓦雷,SUN,爱达荷州,美国,机场
SUO,森里弗机场,森里弗机场,Sun River,森里弗,SUO,俄勒冈州,美国,机场
SUP,特鲁诺乔约机场,特鲁诺乔约机场,Sumenep,苏民纳,SUP,苏民纳,印度尼西亚,机场
STW,什帕科夫斯科耶机场,什帕科夫斯科耶机场,Shpakovskoye Airport,斯塔夫罗波尔,STW,斯塔夫罗波尔边疆,俄罗斯,机场
JCD,圣克罗伊市区直升机机场,圣克罗伊市区直升机机场,St Croix Downtown H/P,圣克罗伊,STX,圣克罗伊,美属维尔京群岛,非海关机场
STX,亨利洛尔森机场,亨利洛尔森机场,Henry E. Rohlsen Airport,圣克罗伊,STX,圣克罗伊,美属维尔京群岛,机场
SSB,圣克罗伊水上飞机基地,圣克罗伊水上飞机基地,St Croix Spb,圣克罗伊,STX,圣克罗伊,美属维尔京群岛,非海关机场
STY,萨尔托机场,萨尔托机场,Salto,萨尔托,STY,萨尔托,乌拉圭,机场
STZ,康夫雷萨机场,康夫雷萨机场,Santa Terezinha,圣特雷辛哈,STZ,马托格罗索,巴西,机场
SUA,维萨姆机场,维萨姆机场,Stuart,斯图尔特,SUA,佛罗里达州,美国,机场
SUB,朱安达机场,朱安达机场,Juanda Airport,泗水,SUB,东爪哇,印度尼西亚,机场
SUC,史劳雷特机场,史劳雷特机场,Sundance,桑代恩斯,SUC,怀俄明州,美国,机场
SUD,斯特劳德机场,斯特劳德机场,Stroud,斯特劳德,SUD,俄克拉何马城,美国,机场
SUE,多尔郡机场,多尔郡机场,Sturgeon Bay,斯特金湾,SUE,威斯康星州,美国,机场
SUF,拉梅齐亚泰尔梅机场,拉梅齐亚泰尔梅机场,Lamezia Terme Airport,拉麦兹亚－特尔姆,SUF,卡拉布里亚,意大利,机场
ARN,阿兰达机场,阿兰达机场,Arlanda Airport,斯德哥尔摩,STO,斯德哥尔摩,瑞典,机场
BMA,布罗马机场,布罗马机场,Bromma Airport,斯德哥尔摩,STO,斯德哥尔摩,瑞典,机场
NYO,斯卡夫斯塔机场,斯卡夫斯塔机场,Skavsta Airport,斯德哥尔摩,STO,斯德哥尔摩,瑞典,机场
VST,瓦斯特拉斯机场,瓦斯特拉斯机场,Vasteras Airport,斯德哥尔摩,STO,斯德哥尔摩,瑞典,机场
STQ,圣玛丽斯机场,圣玛丽斯机场,St Marys,圣玛丽斯,STQ,宾夕法尼亚州,美国,机场
ZWS,斯图加特火车站,斯图加特火车站,Stuttgart Hbf Rail Station,斯图加特,STR,巴登-符腾堡,德国,非海关机场
STS,查尔斯舒尔茨机场,查尔斯舒尔茨机场,Charles M. Schulz–Sonoma County Airport,圣罗莎,STS,加利福尼亚州,美国,机场
STT,塞里尔金机场,塞里尔金机场,Cyril E. King Airport,圣托马斯,STT,圣托马斯,美属维尔京群岛,机场
SPB,圣托马斯水上飞机基地,圣托马斯水上飞机基地,St Thomas Spb,圣托马斯,STT,圣托马斯,美属维尔京群岛,非海关机场
STU,圣克鲁斯机场,圣克鲁斯机场,Santa Cruz,圣克鲁斯,STU,圣克鲁斯,伯利兹,机场
STV,苏拉特机场,苏拉特机场,Surat Airport,苏拉特,STV,古吉拉特邦,印度,机场
STG,圣乔治岛机场,圣乔治岛机场,Saint George Island Airport,圣乔治岛,STG,阿拉斯加州,美国,机场
STH,斯特拉斯莫尔机场,斯特拉斯莫尔机场,Strathmore,斯特拉斯莫尔,STH,昆士兰,澳大利亚,机场
STI,圣地亚哥地方机场,圣地亚哥机场,Santiago Municipal Airport,圣地亚哥,STI,圣地亚哥,多米尼加共和国,机场
STJ,罗瑟克兰斯－梅莫里阿尔机场,罗瑟克兰斯－梅莫里阿尔机场,St Joseph,圣约瑟夫（废）,STJ,密苏里州,美国,机场
STK,克劳森机场,克劳森机场,Sterling,斯特灵,STK,科罗拉多州,美国,机场
ZSV,圣路易斯火车站,圣路易斯火车站,St. Louis Railway Service,圣路易斯,STL,密苏里州,美国,非海关机场
CPS,比斯塔特－帕克斯机场,比斯塔特－帕克斯机场,St Louis Bi-State Parks Apt,圣路易斯,STL,密苏里州,美国,非海关机场
STL,兰伯特圣路易斯国际机场,兰伯特圣路易斯机场,Lambert St.Louis International Airport,圣路易斯,STL,密苏里州,美国,机场
SUS,圣路易斯－斯皮里特机场,圣路易斯－斯皮里特机场,St Louis Spirit Of St Louis Apt,圣路易斯,STL,密苏里州,美国,非海关机场
STM,麦斯托威尔逊丰塞卡机场,麦斯托威尔逊丰塞卡机场,Maestro Wilson Fonseca Airport,圣塔伦,STM,帕拉,巴西,机场
XEV,斯德哥尔摩火车站,斯德哥尔摩火车站,Stockholm C Rail Station,斯德哥尔摩,STO,斯德哥尔摩,瑞典,非海关机场
XEW,弗莱明斯堡火车站,弗莱明斯堡火车站,Flemingsberg Railway Station,斯德哥尔摩,STO,斯德哥尔摩,瑞典,非海关机场
SSW,斯图尔特岛机场,斯图尔特岛机场,Stuart Island,斯图尔特岛,SSW,华盛顿州,美国,机场
SSX,辛吉塔机场,辛吉塔机场,Samsun Apt,萨姆松,SZF,萨姆松,土耳其,机场
SSY,姆班扎刚果机场,姆班扎刚果机场,M'Banza Congo,姆班扎刚果,SSY,姆班扎刚果,安哥拉,机场
SSZ,桑托斯机场,桑托斯机场,Santos,桑托斯,SSZ,圣保罗,巴西,机场
STA,斯陶宁机场,斯陶宁机场,Stauning,斯陶宁,STA,斯陶宁,丹麦,机场
STB,德里希阿斯机场,德里希阿斯机场,Santa Barbara Zulia,圣巴巴拉埃德,STB,圣巴巴拉埃德,委内瑞拉,机场
JSK,圣克劳德地方直升机机场,圣克劳德地方直升机机场,St Cloud Municipal H/P,圣克劳德,STC,明尼苏达州,美国,非海关机场
STC,圣克劳德地方机场,圣克劳德机场,St. Cloud Regional Airport,圣克劳德,STC,明尼苏达州,美国,机场
STD,圣多明戈机场,圣多明戈机场,Santo Domingo Airport,圣多明各,STD,圣多明各,委内瑞拉,机场
STE,史蒂芬斯波因特机场,史蒂芬斯波因特机场,Stevens Point,史蒂芬斯波因特,STE,威斯康星州,美国,机场
STF,史蒂芬岛机场,史蒂芬岛机场,Stephen Island Apt,史蒂芬岛,STF,昆士兰,澳大利亚,非海关机场
SSJ,斯托卡机场,斯托卡机场,Stokka,桑内舍恩,SSJ,诺德兰,挪威,机场
SSK,斯图特克里克机场,斯图特克里克机场,Sturt Creek Apt,斯图特克里克,SSK,西澳大利亚,澳大利亚,机场
SSL,圣罗萨莉亚机场,圣罗萨莉亚机场,Santa Rosalia Apt,圣罗萨莉亚,SSL,圣罗萨莉亚,哥伦比亚,机场
CIU,奇波瓦郡机场,奇波瓦郡机场,Chippewa County Airport,苏圣玛丽,SSM,密歇根州,美国,机场
INR,苏圣玛丽空军基地,苏圣玛丽空军基地,Sault Ste  Marie Kincheloe Afb,苏圣玛丽,SSM,密歇根州,美国,非海关机场
SSO,圣洛伦佐机场,圣洛伦佐机场,Sao Lourenco,圣洛伦佐,SSO,米纳斯吉拉斯,巴西,机场
SSP,希尔瓦普伦斯机场,希尔瓦普伦斯机场,Silver Plains,希尔瓦普伦斯,SSP,昆士兰,澳大利亚,机场
SSQ,拉萨尔机场,拉萨尔机场,La Sarre,拉萨尔,SSQ,安大略,加拿大,机场
SSR,萨拉机场,萨拉机场,Sara Airport,萨拉,SSR,萨拉,瓦努阿图,机场
SSS,希阿西斯机场,希阿西斯机场,Siassi,希阿西斯,SSS,希阿西斯,巴布亚新几内亚,机场
SST,圣特雷希塔机场,圣特雷希塔机场,Santa Teresita,圣特雷希塔,SST,布宜诺斯艾利斯省,阿根廷,机场
SSV,锡亚西机场,锡亚西机场,Siasi,锡亚西,SSV,锡亚西,菲律宾,机场
SRY,达什特纳兹机场,达什特纳兹机场,Dasht-e Naz Airport,萨里,SRY,萨里,伊朗,机场
SRZ,特洛姆皮罗机场,特洛姆皮罗机场,Santa Cruz El Trompillo Apt,圣克鲁斯,SRZ,圣克鲁斯,玻利维亚,机场
VVI,比鲁比鲁国际机场,比鲁比鲁机场,Viru Viru International Airport,圣克鲁斯,SRZ,圣克鲁斯,玻利维亚,机场
SSA,路易斯马加尔哈斯机场,路易斯马加尔哈斯机场,Deputado Luiz Eduardo Magalhaes Airport,萨尔瓦多,SSA,巴伊亚,巴西,机场
SUM,萨姆特地方机场,萨姆特地方机场,Sumter Municipal Apt,萨姆特,SSC,南卡罗来纳州,美国,非海关机场
SSC,绍空军基地,绍空军基地,Sumter Shaw Afb,萨姆特,SSC,南卡罗来纳州,美国,非海关机场
SSD,圣费利佩机场,圣费利佩机场,San Felipe,圣费利佩,SSD,瓦尔帕莱索,智利,机场
SSE,绍拉布尔机场,绍拉布尔机场,Sholapur,绍拉布尔,SSE,绍拉布尔,印度,机场
SSG,马拉博国际机场,马拉博机场,Malabo International Airport,马拉博,SSG,马拉博,赤道几内亚,机场
SSH,沙姆沙伊赫湾国际机场,沙姆沙伊赫湾机场,Sharm El Sheikh International Airport,沙姆沙伊赫湾,SSH,南西奈,埃及,机场
BQK,格林科喷气机机场,格林科喷气机机场,Brunswick Glynco Jetport,布伦瑞克,SSI,佐治亚州,美国,非海关机场
SSI,麦克金农机场,麦克金农机场,Brunswick M B Mckinnon Apt,布伦瑞克,SSI,佐治亚州,美国,机场
SRN,斯特拉恩机场,斯特拉恩机场,Strahan,斯特拉恩,SRN,塔斯马尼亚,澳大利亚,机场
SRO,桑塔纳拉莫斯机场,桑塔纳拉莫斯机场,Santana Ramos,桑塔纳拉莫斯,SRO,桑塔纳拉莫斯,哥伦比亚,机场
SRP,斯图尔机场,斯图尔机场,Stord Airport,斯图尔,SRP,韦斯特兰,挪威,机场
SRQ,不拉登顿国际机场,不拉登顿机场,Bradenton International Airport,萨拉索塔,SRQ,佛罗里达州,美国,机场
SRS,圣马科斯机场,圣马科斯机场,San Marcos Apt,圣马科斯,SRS,圣马科斯,哥伦比亚,机场
SRT,索罗蒂机场,索罗蒂机场,Soroti,索罗蒂,SRT,索罗蒂,乌干达,机场
SRU,圣克鲁斯机场,圣克鲁斯机场,Santa Cruz,圣克鲁斯,SRU,加利福尼亚州,美国,机场
SRV,斯托尼里弗机场,斯托尼里弗机场,Stony River Airport,斯托尼里弗,SRV,阿拉斯加州,美国,机场
SRW,罗万郡机场,罗万郡机场,Salisbury,索尔兹伯里,SRW,北卡罗莱纳州,美国,机场
SRX,瑟特机场,瑟特机场,Sert,瑟特,SRX,瑟特,利比亚,机场
SRD,圣拉蒙机场,圣拉蒙机场,San Ramon,圣拉蒙,SRD,圣拉蒙,玻利维亚,机场
SRE,阿尔坎塔里国际机场,阿尔坎塔里国际机场,Alcantari International Airport,苏克雷,SRE,丘基萨卡,玻利维亚,机场
JSG,圣拉斐尔直升机机场,圣拉斐尔直升机机场,San Rafael Heliport,圣拉斐尔,SRF,加利福尼亚州,美国,非海关机场
SRF,汉密尔顿机场,汉密尔顿机场,San Rafael Hamilton Field,圣拉斐尔,SRF,加利福尼亚州,美国,机场
SRG,艾哈迈德亚尼国际机场,艾哈迈德亚尼机场,Achmad Yani International Airport,三宝垄,SRG,中爪哇,印度尼西亚,机场
SRH,萨尔机场,萨尔机场,Sarh,萨尔,SRH,萨尔,乍得,机场
SRI,三马林达机场,三马林达机场,Samarinda,三马林达,SRI,东加里曼丹,印度尼西亚,机场
SRJ,卡皮坦－瓜尔迪亚机场,卡皮坦－瓜尔迪亚机场,San Borja,圣博尔哈,SRJ,圣博尔哈,玻利维亚,机场
SRK,肖拉帕卢克机场,肖拉帕卢克机场,Siorapaluk Airport,肖拉帕卢克,SRK,肖拉帕卢克,塞拉利昂,机场
SRL,圣罗萨莉亚机场,圣罗萨莉亚机场,Santa Rosalia,圣罗萨莉亚,SRL,圣罗萨莉亚,墨西哥,机场
SRM,桑德灵厄姆机场,桑德灵厄姆机场,Sandringham,桑德灵厄姆,SRM,昆士兰,澳大利亚,机场
