机场代码,机场全称,机场简称,英文名,所属城市,城市三字码,所属省州,所属国家/地区,机场类型
SVO,谢列梅捷沃国际机场,谢列梅捷沃机场,Sheremetyevo International Airport,莫斯科,MOW,莫斯科,俄罗斯,机场
RSI,红海国际机场,红海机场,Red Sea International Airport,哈纳克,RSI,泰布克,沙特阿拉伯,机场
FMO,蒙斯特国际机场,蒙斯特机场,Munster International Airport,蒙斯特/海德县,FMO,下萨克森,德国,机场
ZQN,皇后镇机场,皇后镇机场,Queenstown Airport,皇后镇,ZQN,奥塔哥,新西兰,机场
ASB,阿什哈巴德机场,阿什哈巴德机场,Ashgabat Airport,阿什哈巴德,ASB,阿什哈巴德,土库曼斯坦,机场
FRU,比什凯克机场,比什凯克机场,Bishkek,比什凯克,BSZ,比什凯克,吉尔吉斯斯坦,机场
NTK,南通东汽车站,南通东汽车站,Nantong East Bus Station,南通,NTG,江苏省,中国,非海关机场
JRJ,赣州瑞金机场,赣州瑞金机场,Ganzhou Ruijin Airport,瑞金,JRJ,江西省,中国,机场
ALA,阿拉木图国际机场,阿拉木图机场,Almaty International Airport,阿拉木图,ALA,阿拉木图,哈萨克斯坦,机场
BSZ,玛纳斯国际机场,玛纳斯国际机场,Manas International Airport,比什凯克,BSZ,比什凯克,吉尔吉斯斯坦,机场
NKM,小牧机场,小牧机场,Nagoya Airport,名古屋,NGO,爱知,日本,非海关机场
TUN,迦太基国际机场,迦太基机场,Carthage International Airport,突尼斯,TUN,突尼斯,突尼斯,机场
THJ,台山汽车总站,台山汽车总站,TAISHAN CZ BUS STATION,台山,ZCA,广东省,中国,非海关机场
ZHQ,肇庆长途客运站,肇庆长途客运站,ZHAOQING BUS STN.,肇庆,ZHQ,广东省,中国,非海关机场
QYS,清远汽车站,清远汽车站,QINGYUAN CITY TERMINAL,清远,QYS,广东省,中国,非海关机场
ZCA,台山港,台山港,TAISHAN HARBOUR,台山,ZCA,广东省,中国,非海关机场
ZBD,江门轮渡码头,江门轮渡码头,JIANGMEN FERRY PORT,江门,ZBD,广东省,中国,非海关机场
HHS,中山汽车站,中山汽车站,Zhongshan Cz Bus Station,中山,ZGN,广东省,中国,非海关机场
XHO,东莞汽车站,东莞汽车站,DONGGUAN CITY BUS STATION,东莞,DGM,广东省,中国,非海关机场
SJD,洛斯卡波国际机场,洛斯卡波机场,Los Cabos International Airport,圣何塞德尔卡沃,SJD,南下加利福尼亚,墨西哥,机场
KTI,德崇国际机场（金边）,德崇机场（金边）,Techo International Airport,达克茂(金边),KTI,干丹,柬埔寨,机场
APJ,普兰机场,普兰机场,ALI PULAN AIRPORT,普兰,APJ,西藏自治区,中国,机场
JBD,贾拉拉巴德,贾拉拉巴德,Jalal-Abad Apt,贾拉拉巴德,JBD,贾拉拉巴德,吉尔吉斯斯坦,机场
HDO,欣顿机场,欣顿机场,Hinton Airport,加济阿巴德,HDO,北方邦,印度,机场
DSS,布莱斯迪亚涅国际机场,布莱斯迪亚涅机场,Blaise Diagne International Airport,达喀尔,DKR,达喀尔,塞内加尔,机场
HNA,花卷机场,花卷机场,Hanamaki Airport,哈纳马奇,HNA,岩手,日本,机场
QRH,鹿特丹中央火车站,鹿特丹中央火车站,ROTTERDAM CENTRAAL RAILWAY STN,鹿特丹,RTM,南荷兰,荷兰,非海关机场
TAS,塔什干国际机场,塔什干机场,Tashkent International Airport,塔什干,TAS,塔什干,乌兹别克斯坦,机场
JFK,肯尼迪国际机场,肯尼迪机场,John F. Kennedy International Airport,纽约,NYC,纽约州,美国,机场
CDG,戴高乐机场,戴高乐机场,Charles De Gaulle Airport,巴黎,PAR,法兰西岛大区,法国,机场
PEN,槟城国际机场,槟城机场,Penang International Airport,槟城,PEN,槟城,马来西亚,机场
